Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Age,Age_Group,Total_Spending,Children
1989,Graduation,Single,21474.0,2014-04-08,0,6,16,24,11.0,0,34.0,2,3,1,2,7,1,0,0,0,0,0,1,26,<30,91,1
1971,PhD,Single,60504.0,2014-02-07,73,458,0,24,6.0,4,34.0,2,6,2,8,6,0,0,0,0,0,0,0,44,40–49,526,1
1963,Graduation,Married,22419.0,2013-04-18,74,30,3,47,19.0,21,42.0,1,3,2,2,8,0,0,0,0,0,0,0,52,50–59,162,0
1949,Master,Married,81698.0,2013-11-06,4,179,28,520,111.0,81,47.0,1,3,8,13,1,0,0,0,0,0,0,1,66,60+,1008,0
1952,Graduation,Together,43462.0,2012-09-12,50,90,17,97,15.0,6,15.0,6,4,1,5,8,0,0,0,0,0,0,0,63,60+,240,2
1978,PhD,Single,54880.0,2013-03-01,57,308,81,137,102.0,45,118.0,2,6,2,11,5,0,0,0,0,0,0,0,37,30–39,795,1
1982,Graduation,Married,79908.0,2013-04-05,30,557,81,556,29.0,81,111.0,1,5,6,7,2,0,0,1,0,0,0,0,33,30–39,1772,0
1970,2n Cycle,Married,15315.0,2013-08-03,27,7,4,13,15.0,8,17.0,2,2,0,4,5,0,0,0,0,0,0,0,45,40–49,64,0
1959,Graduation,Together,87771.0,2013-05-22,61,1492,38,287,50.0,57,33.0,1,5,10,4,6,0,1,1,1,1,0,1,56,50–59,1957,1
1978,Graduation,Married,33039.0,2013-09-09,4,30,8,12,8.0,8,12.0,1,2,0,4,5,0,0,0,0,0,0,0,37,30–39,78,1
1980,Graduation,Single,81741.0,2013-06-16,75,249,81,556,58.0,81,38.0,0,6,6,7,2,0,0,0,0,0,0,0,35,30–39,1572,0
1971,Master,Together,71499.0,2013-06-25,12,465,25,132,120.5,0,37.0,2,8,3,13,4,0,0,0,0,0,0,0,44,40–49,795,1
1970,2n Cycle,Married,62466.0,2014-01-15,13,129,81,259,120.5,81,83.0,5,6,3,12,4,0,0,0,0,0,0,0,45,40–49,889,1
1963,PhD,Divorced,48799.0,2013-11-05,9,174,18,81,28.0,6,24.0,3,3,2,7,3,0,0,0,0,0,0,0,52,50–59,331,1
1950,PhD,Together,52157.0,2014-06-07,48,189,2,29,3.0,2,40.0,2,3,2,5,4,0,0,0,0,0,0,0,65,60+,265,1
1962,Graduation,Single,66565.0,2012-12-05,80,747,10,161,65.0,40,42.0,4,4,2,9,8,0,0,0,0,0,0,0,53,50–59,1065,1
1951,Master,Together,29298.0,2013-09-07,60,6,0,2,2.0,0,1.0,1,1,0,2,5,0,0,0,0,0,0,0,64,60+,11,2
1979,Graduation,Single,47691.0,2013-07-05,43,14,0,3,0.0,0,4.0,1,1,0,2,6,0,0,0,0,0,0,0,36,30–39,21,1
1970,Graduation,Together,38200.0,2012-12-07,19,12,0,4,0.0,0,1.0,1,1,0,2,7,0,0,0,0,0,0,0,45,40–49,17,2
1974,Graduation,Married,44989.0,2012-09-12,26,98,0,106,49.0,10,106.0,5,5,1,5,6,0,0,0,0,0,0,0,41,40–49,369,1
1968,PhD,Married,38443.0,2014-01-27,58,32,0,5,0.0,0,1.0,2,1,0,3,7,0,0,0,0,0,0,0,47,40–49,38,2
1978,2n Cycle,Single,38593.0,2013-09-13,42,51,12,49,17.0,24,24.0,3,4,1,3,8,0,0,0,0,0,0,0,37,30–39,177,1
1970,PhD,Together,64413.0,2013-08-01,27,200,5,44,0.0,10,20.0,1,5,1,5,5,0,0,0,0,0,0,0,45,40–49,279,1
1981,Master,Married,36959.0,2013-10-02,56,25,6,25,6.0,0,0.0,2,2,0,3,8,0,0,0,0,0,0,0,34,30–39,62,1
1977,PhD,Married,61996.0,2013-01-31,27,1050,12,144,0.0,0,24.0,3,6,4,8,5,0,1,0,1,1,0,1,38,30–39,1230,1
1968,Graduation,Married,51287.0,2014-04-01,10,117,0,22,13.0,0,30.0,3,4,1,3,7,0,0,0,0,0,0,0,47,40–49,182,2
1970,Graduation,Married,13260.0,2013-08-23,48,9,4,17,10.0,2,7.0,4,3,0,3,8,0,0,0,0,0,0,0,45,40–49,49,2
1966,PhD,Together,47472.0,2013-09-16,39,56,0,11,0.0,0,8.0,2,2,0,4,5,0,0,0,0,0,0,0,49,40–49,75,2
1956,Master,Together,54603.0,2013-07-09,85,145,13,46,17.0,2,4.0,6,4,2,4,7,0,0,0,0,0,0,0,59,50–59,227,2
1974,PhD,Married,45207.0,2012-11-10,64,203,0,10,0.0,0,2.0,5,3,1,6,6,0,1,0,0,0,0,0,41,40–49,215,2
1951,Graduation,Together,40689.0,2013-03-18,69,270,3,27,39.0,6,99.0,7,7,1,5,8,0,0,0,0,0,0,0,64,60+,444,1
1967,2n Cycle,Together,47821.0,2013-10-20,54,9,0,16,6.0,6,10.0,1,1,0,3,8,0,0,0,0,0,0,0,48,40–49,47,2
1951,Master,Married,27450.0,2013-04-15,57,37,12,23,8.0,11,52.0,1,2,1,3,7,0,0,0,0,0,0,0,64,60+,143,0
1983,Graduation,Together,39453.0,2014-04-03,64,46,0,7,0.0,0,2.0,2,2,0,3,6,0,0,0,0,0,0,0,32,30–39,55,1
1971,2n Cycle,Together,26850.0,2014-04-18,10,31,1,13,7.0,2,9.0,4,2,1,4,4,0,0,0,0,0,0,0,44,40–49,63,2
1955,Graduation,Widow,79800.0,2012-09-23,65,1060,21,530,32.0,0,126.5,1,5,11,5,3,1,0,1,1,0,0,1,60,60+,1867,0
1961,Master,Married,61794.0,2013-09-14,74,264,47,188,54.0,47,11.0,2,4,4,10,2,0,0,0,0,0,0,0,54,50–59,611,1
1955,Graduation,Together,53863.0,2014-05-17,4,399,4,30,6.0,4,30.0,3,7,1,7,7,0,1,0,0,0,0,0,60,60+,473,1
1959,Graduation,Together,24221.0,2013-08-20,94,8,9,9,2.0,5,22.0,1,1,1,3,4,0,0,0,0,0,0,0,56,50–59,55,0
1984,PhD,Single,39684.0,2012-10-12,41,19,0,35,6.0,4,17.0,2,2,1,2,7,0,0,0,0,0,1,1,31,30–39,81,1
1975,Master,Married,92163.0,2012-12-12,25,817,81,556,106.0,81,20.0,0,5,11,5,2,0,0,1,1,0,0,1,40,40–49,2086,0
1965,Master,Single,69882.0,2013-11-10,94,292,81,556,120.5,81,126.5,1,3,7,9,1,0,0,0,0,0,0,0,50,50–59,1478,0
1977,Graduation,Together,33178.0,2014-01-30,9,12,6,2,11.0,2,16.0,1,1,0,3,4,0,0,0,0,0,0,0,38,30–39,49,1
1972,PhD,Married,59973.0,2013-09-11,47,130,30,168,20.0,34,0.0,1,3,4,7,1,0,0,0,0,0,0,0,43,40–49,382,0
1975,Master,Together,17459.0,2013-09-19,12,6,4,16,3.0,10,30.0,3,3,1,2,7,0,0,0,0,0,0,1,40,40–49,69,1
1969,Graduation,Divorced,23910.0,2012-10-26,80,16,12,18,7.0,1,13.0,1,2,0,3,7,0,0,0,0,0,0,0,46,40–49,67,1
1969,Master,Married,42169.0,2013-10-19,20,19,0,9,0.0,0,2.0,2,1,0,3,8,0,0,0,0,0,0,0,46,40–49,30,2
1978,2n Cycle,Married,26224.0,2013-06-04,39,4,7,15,13.0,9,15.0,3,2,1,3,6,0,0,0,0,0,0,0,37,30–39,63,1
1981,Graduation,Together,31089.0,2012-08-17,57,31,3,31,2.0,8,4.0,3,3,0,4,8,0,0,0,0,0,0,0,34,30–39,79,1
1961,Graduation,Single,30081.0,2013-02-21,27,36,0,2,0.0,0,4.0,1,1,0,3,7,0,0,0,0,0,0,0,54,50–59,42,1
1960,Graduation,Together,62807.0,2012-08-31,83,526,28,135,10.0,21,99.0,3,5,3,12,5,0,0,0,0,0,0,0,55,50–59,819,1
1955,Graduation,Single,72906.0,2013-09-17,79,400,32,519,71.0,75,54.0,1,3,4,9,1,0,0,0,0,0,0,0,60,60+,1151,0
1948,PhD,Married,61467.0,2012-12-09,69,410,16,114,0.0,5,49.0,3,5,2,10,5,0,0,0,0,0,0,0,67,60+,594,2
1966,Master,Together,49618.0,2013-01-26,77,80,3,26,4.0,2,14.0,4,3,1,3,7,0,0,0,0,0,0,0,49,40–49,129,2
1986,Master,Single,21888.0,2012-12-29,15,88,10,46,2.0,3,64.0,4,5,1,2,10,0,0,0,0,0,0,1,29,<30,213,1
1973,Graduation,Widow,42429.0,2014-02-11,99,55,0,6,2.0,0,4.0,2,1,1,3,5,0,0,0,0,0,0,0,42,40–49,67,1
1956,Graduation,Divorced,26150.0,2013-03-11,61,5,1,13,3.0,5,1.0,1,1,0,3,7,0,0,0,0,0,0,0,59,50–59,28,3
1975,Basic,Married,30801.0,2012-10-26,23,8,4,5,15.0,2,11.0,2,1,0,3,7,0,0,0,0,0,0,0,40,40–49,45,1
1965,Graduation,Married,81168.0,2014-05-07,84,410,0,556,120.5,22,22.0,1,6,4,7,3,0,0,0,1,0,0,0,50,50–59,1193,0
1969,Master,Single,26877.0,2013-08-19,74,101,13,76,20.0,18,40.0,2,3,1,6,6,0,0,0,0,0,0,0,46,40–49,268,0
1944,Master,Widow,45006.0,2013-07-18,90,162,25,53,16.0,0,10.0,1,3,1,7,3,0,0,0,0,0,0,0,71,60+,266,0
1973,Basic,Married,18978.0,2012-12-11,41,2,8,1,4.0,7,15.0,1,1,0,3,8,0,0,0,0,0,0,0,42,40–49,37,1
1967,Graduation,Married,22574.0,2013-10-28,28,25,0,8,2.0,0,2.0,2,2,0,3,7,0,0,0,0,0,0,0,48,40–49,37,3
1969,PhD,Single,48240.0,2012-11-09,73,389,81,248,64.0,49,41.0,3,6,3,13,5,0,0,0,0,0,0,1,46,40–49,882,0
1974,Graduation,Married,45837.0,2013-07-26,88,215,13,87,17.0,17,24.0,5,6,2,5,7,0,0,0,0,0,0,0,41,40–49,373,2
1965,Master,Single,35791.0,2013-05-06,94,27,0,5,0.0,0,3.0,2,1,0,3,8,0,0,0,0,0,0,0,50,50–59,35,3
1976,PhD,Together,162397.0,2013-06-03,31,85,1,16,2.0,1,2.0,0,0,0,1,1,0,0,0,0,0,0,0,39,30–39,107,2
1978,Graduation,Widow,54162.0,2013-03-18,31,5,6,10,6.0,5,10.0,1,1,0,3,4,0,0,0,0,0,0,0,37,30–39,42,2
1960,Master,Married,30522.0,2012-08-17,6,179,8,83,19.0,11,26.0,5,1,2,9,2,0,0,0,0,0,0,0,55,50–59,326,1
1961,PhD,Married,54456.0,2013-07-11,23,352,0,27,10.0,0,15.0,3,6,1,7,6,0,0,0,0,0,0,0,54,50–59,404,1
1971,Graduation,Single,31632.0,2013-07-14,92,17,8,12,11.0,15,32.0,1,2,1,2,7,0,0,0,0,0,0,0,44,40–49,95,0
1949,Graduation,Widow,72298.0,2014-03-10,52,625,35,169,58.0,17,35.0,1,4,3,6,1,0,1,1,0,0,0,0,66,60+,939,0
1978,2n Cycle,Single,36975.0,2013-12-28,50,10,6,11,0.0,4,2.0,1,1,0,3,7,0,0,0,0,0,0,0,37,30–39,33,1
1955,2n Cycle,Married,72635.0,2013-06-03,54,390,22,323,104.0,35,107.0,1,6,8,6,3,0,0,0,1,0,0,0,60,60+,981,0
1976,Graduation,Married,13624.0,2013-01-20,93,10,2,15,2.0,1,6.0,2,2,0,3,6,0,0,0,0,0,0,0,39,30–39,36,1
1975,Graduation,Single,84196.0,2013-06-03,56,215,63,507,120.5,31,126.5,1,8,4,7,3,0,0,0,0,0,0,0,40,40–49,1237,1
1960,Graduation,Together,70971.0,2012-09-21,28,1001,17,556,93.0,81,17.0,7,11,11,5,7,0,0,0,0,0,0,1,55,50–59,1825,1
1977,PhD,Divorced,34487.0,2012-09-06,94,19,18,33,24.0,1,8.0,3,3,0,3,9,0,0,0,0,0,0,0,38,30–39,103,2
1977,Graduation,Single,28769.0,2012-12-18,76,41,5,129,10.0,3,3.0,3,4,1,4,9,0,0,0,0,0,0,0,38,30–39,191,1
1970,PhD,Married,69084.0,2013-11-19,43,1181,81,199,39.0,30,30.0,2,7,3,13,8,0,0,0,0,0,0,0,45,40–49,1586,1
1958,PhD,Together,65488.0,2014-06-13,46,603,45,207,36.0,18,54.0,1,3,4,6,1,0,0,0,0,0,0,0,57,50–59,963,0
1970,2n Cycle,Married,62466.0,2014-01-15,13,129,81,259,120.5,81,83.0,5,6,3,12,4,0,0,0,0,0,0,0,45,40–49,889,1
1960,2n Cycle,Single,32218.0,2014-02-15,27,10,24,15,13.0,1,30.0,1,2,1,3,7,1,0,0,0,0,0,1,55,50–59,93,0
1973,Graduation,Single,83917.0,2013-04-18,12,514,22,556,42.0,81,79.0,1,6,7,7,3,0,0,0,0,0,0,1,42,40–49,1587,0
1962,Graduation,Divorced,46102.0,2014-03-10,3,14,0,1,0.0,0,1.0,1,1,0,2,7,0,0,0,0,0,0,0,53,50–59,16,3
1952,Graduation,Single,84574.0,2013-06-04,72,387,20,556,38.0,54,126.5,1,9,11,11,5,0,0,0,0,0,0,0,63,60+,1375,0
1962,Graduation,Married,56181.0,2013-01-08,6,121,81,69,8.0,44,48.0,1,4,2,7,4,0,0,0,0,0,0,0,53,50–59,393,1
1950,Master,Divorced,63120.0,2012-09-28,53,965,69,279,54.0,41,69.0,5,8,4,9,7,0,0,0,0,0,0,1,65,60+,1477,1
1971,Graduation,Married,73691.0,2013-11-06,58,707,21,250,85.0,43,73.0,2,6,2,8,2,1,0,0,0,0,0,0,44,40–49,1179,1
1960,Graduation,Together,63381.0,2012-10-05,78,571,50,142,33.0,50,126.5,4,4,5,13,2,0,0,0,0,0,0,0,55,50–59,1005,1
1948,PhD,Together,76140.0,2014-05-13,57,586,66,556,17.0,0,26.0,1,5,9,6,2,0,0,0,0,0,0,0,67,60+,1348,0
1959,PhD,Divorced,62859.0,2012-12-30,37,1063,81,102,16.0,12,25.0,4,9,4,6,6,0,0,0,0,0,0,0,56,50–59,1307,1
1964,Graduation,Single,45906.0,2013-05-07,20,305,3,27,4.0,3,126.5,2,5,4,4,5,1,0,0,0,0,0,0,51,50–59,486,1
1947,Master,Together,77632.0,2013-03-10,73,1200,81,556,0.0,42,126.5,1,4,2,6,2,0,1,1,0,0,0,1,68,60+,2252,0
1971,PhD,Married,46463.0,2013-08-18,56,163,2,40,8.0,11,11.0,7,3,1,6,6,0,0,0,0,0,0,0,44,40–49,235,2
1970,Graduation,Together,105471.0,2013-01-21,36,1009,81,104,120.5,21,126.5,0,9,8,13,3,0,0,1,1,0,0,1,45,40–49,1724,0
1970,Master,Divorced,55282.0,2013-12-13,9,125,6,73,8.0,4,19.0,1,3,1,6,4,0,0,0,0,0,0,0,45,40–49,235,1
1977,Master,Married,78710.0,2014-05-23,42,721,0,152,119.0,50,50.0,3,7,6,12,4,0,0,0,0,0,0,0,38,30–39,1092,1
1958,Graduation,Together,66886.0,2013-09-16,28,315,4,62,41.0,31,126.5,2,7,1,7,5,0,0,0,0,0,0,0,57,50–59,599,1
1960,Master,Single,98777.0,2014-02-17,23,1000,19,556,120.5,81,38.0,0,4,6,9,1,0,1,0,0,0,0,0,55,50–59,2008,0
1985,Graduation,Together,29103.0,2012-08-27,38,16,0,17,6.0,3,6.0,2,1,0,3,9,0,0,0,0,0,0,0,30,30–39,48,1
1974,Graduation,Married,67445.0,2012-08-12,63,757,80,217,29.0,80,11.0,5,9,6,12,6,0,0,0,0,0,0,0,41,40–49,1174,1
1950,PhD,Together,50616.0,2014-04-13,71,30,2,25,0.0,1,9.0,1,1,1,4,2,0,0,0,0,0,0,0,65,60+,67,1
1955,Graduation,Divorced,49431.0,2012-08-03,9,219,3,100,26.0,0,17.0,2,7,1,5,8,0,0,0,0,0,0,0,60,60+,365,1
1975,Graduation,Divorced,153924.0,2014-02-07,81,1,1,1,1.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,40,40–49,6,0
1953,Graduation,Together,61278.0,2014-01-04,87,111,3,28,2.0,6,15.0,2,3,1,4,6,0,0,0,0,0,0,0,62,60+,165,1
1958,2n Cycle,Together,26490.0,2012-09-22,92,45,47,52,21.0,20,25.0,2,3,1,5,6,0,0,0,0,0,0,0,57,50–59,210,0
1947,PhD,Together,73059.0,2013-08-31,36,410,81,420,0.0,81,71.0,1,9,3,13,4,0,0,0,0,0,0,0,68,60+,1095,1
1966,PhD,Single,46734.0,2013-10-21,86,100,1,39,6.0,1,76.0,4,3,2,3,6,1,0,0,0,0,0,0,49,40–49,223,3
1963,Graduation,Together,56253.0,2012-12-07,83,509,0,65,7.0,11,5.0,4,7,2,9,6,0,0,0,0,0,0,0,52,50–59,597,1
1985,Graduation,Married,19986.0,2013-11-14,74,3,6,5,0.0,2,6.0,1,0,0,3,7,0,0,0,0,0,0,0,30,30–39,22,1
1975,Graduation,Widow,58330.0,2013-12-25,87,445,53,213,104.0,81,126.5,1,6,4,13,4,0,0,0,0,0,0,0,40,40–49,1064,1
1980,Basic,Married,25965.0,2012-09-07,29,2,2,11,41.0,7,11.0,1,2,0,3,8,0,0,0,0,0,0,0,35,30–39,74,0
1956,Master,Together,14661.0,2013-01-01,88,4,1,11,6.0,2,2.0,1,1,0,3,6,0,0,0,0,0,0,0,59,50–59,26,0
1959,Graduation,Married,18690.0,2012-12-28,77,6,1,7,23.0,4,19.0,1,1,1,2,8,0,0,0,0,0,0,0,56,50–59,60,0
1974,PhD,Together,45068.0,2013-05-16,25,14,0,3,0.0,0,3.0,1,1,0,2,7,0,0,0,0,0,0,0,41,40–49,20,1
1987,Basic,Single,21063.0,2013-09-25,34,1,10,11,19.0,3,15.0,2,2,0,3,6,0,0,0,0,0,0,0,28,<30,59,1
1968,PhD,Married,29187.0,2013-05-09,43,26,0,6,0.0,0,2.0,1,1,0,3,8,0,0,0,0,0,0,0,47,40–49,34,1
1971,2n Cycle,Married,54690.0,2013-11-07,76,111,16,37,7.0,9,18.0,3,3,1,5,3,0,0,0,0,0,0,0,44,40–49,198,2
1964,PhD,Married,59304.0,2013-07-29,81,418,61,428,80.0,51,10.0,3,7,8,10,5,0,0,0,0,0,0,0,51,50–59,1048,1
1962,Master,Single,59247.0,2013-11-08,87,327,9,122,19.0,14,83.0,5,5,2,9,6,0,0,0,0,0,0,0,53,50–59,574,2
1970,Graduation,Widow,66731.0,2012-09-12,33,371,81,194,58.0,81,126.5,4,4,3,6,3,0,0,0,0,0,0,0,45,40–49,1029,1
1980,Graduation,Married,77353.0,2013-12-16,38,275,59,107,69.0,81,59.0,2,6,4,8,4,0,0,0,0,0,0,0,35,30–39,670,1
1975,PhD,Single,52614.0,2012-12-01,63,789,0,142,12.0,9,38.0,2,2,4,8,8,0,0,0,0,0,0,0,40,40–49,990,1
1974,Graduation,Married,26751.0,2014-05-22,26,1,1,5,0.0,3,1.0,1,1,0,2,8,0,0,0,0,0,0,0,41,40–49,11,2
1963,PhD,Married,81300.0,2012-10-30,17,1004,12,145,32.0,12,36.0,3,10,3,5,5,0,0,0,1,0,0,1,52,50–59,1241,1
1979,Graduation,Single,70337.0,2014-01-02,75,187,81,149,25.0,43,91.0,1,2,2,12,1,0,0,0,0,0,0,0,36,30–39,576,0
1985,2n Cycle,Married,36145.0,2013-06-16,13,56,4,76,17.0,1,18.0,4,4,1,3,9,1,0,0,0,0,0,1,30,30–39,172,1
1980,PhD,Single,65295.0,2013-12-23,19,365,32,117,34.0,81,6.0,1,3,3,13,2,0,0,0,0,0,0,0,35,30–39,664,0
1963,Graduation,Divorced,68118.0,2013-10-18,51,595,23,123,10.0,23,126.5,2,8,9,4,6,0,0,0,0,0,0,0,52,50–59,928,1
1967,Graduation,Divorced,68743.0,2012-08-30,81,1132,81,384,120.5,81,115.0,1,11,5,13,7,0,0,0,0,0,0,0,48,40–49,2074,0
1982,2n Cycle,Together,41039.0,2013-07-25,32,34,11,137,120.5,61,45.0,1,8,1,5,8,0,0,0,0,0,0,0,33,30–39,467,0
1955,Graduation,Together,38946.0,2013-10-24,84,116,6,82,6.0,6,41.0,2,3,1,6,5,0,0,0,0,0,0,0,60,60+,257,1
1967,Graduation,Together,65777.0,2013-12-19,87,565,32,435,28.0,32,54.0,1,2,8,6,1,0,0,0,0,0,0,0,48,40–49,1146,0
1976,PhD,Divorced,66476.0,2013-03-07,99,372,18,126,47.0,48,78.0,2,5,2,11,4,0,0,0,0,0,0,0,39,30–39,689,1
1972,PhD,Single,86857.0,2012-09-12,96,899,81,556,120.5,81,40.0,1,5,6,10,2,0,0,0,0,0,0,1,43,40–49,2114,0
1982,PhD,Married,160803.0,2012-08-04,21,55,16,556,17.0,3,4.0,15,0,28,1,0,0,0,0,0,0,0,0,33,30–39,1717,0
1989,PhD,Together,77845.0,2014-05-16,40,760,40,480,0.0,40,26.0,1,3,5,12,1,0,0,1,1,0,0,0,26,<30,1346,0
1969,PhD,Together,69476.0,2013-09-30,3,260,81,556,63.0,9,67.0,1,4,6,4,2,0,0,0,0,0,0,0,46,40–49,1044,0
1960,PhD,Divorced,50611.0,2012-10-04,98,459,0,24,6.0,0,4.0,6,4,5,7,6,0,1,0,0,0,0,1,55,50–59,493,1
1970,Graduation,Single,61209.0,2013-08-25,73,466,0,224,119.0,49,99.0,1,5,3,4,2,0,0,0,0,0,0,0,45,40–49,957,0
1958,Master,Together,42315.0,2013-07-12,90,67,15,80,17.0,11,80.0,3,1,4,4,3,0,0,0,0,0,0,0,57,50–59,270,1
1952,Basic,Together,13084.0,2013-11-02,29,2,0,7,3.0,7,10.0,1,1,0,3,6,0,0,0,0,0,0,0,63,60+,29,0
1949,Master,Widow,47570.0,2013-05-29,3,67,1,20,0.0,2,31.0,3,2,2,2,7,0,0,0,0,0,0,1,66,60+,121,2
1961,Master,Married,61923.0,2013-07-26,94,92,4,18,3.0,3,6.0,1,2,1,4,3,0,0,0,0,0,0,0,54,50–59,126,2
1995,Graduation,Single,34824.0,2014-03-26,65,4,2,11,2.0,0,4.0,1,1,0,2,6,0,0,0,0,0,0,0,20,<30,23,0
1949,PhD,Single,26518.0,2013-04-08,33,20,1,28,3.0,3,2.0,3,2,0,3,8,0,0,0,0,0,0,1,66,60+,57,2
1961,Graduation,Single,45938.0,2013-11-03,46,273,11,178,62.0,81,29.0,2,8,4,6,6,0,0,0,0,0,0,0,54,50–59,636,0
1960,Graduation,Together,78468.0,2014-04-09,29,434,22,388,104.0,22,34.0,1,10,7,10,4,0,0,0,1,0,0,0,55,50–59,1004,0
1973,Graduation,Divorced,78901.0,2013-09-17,99,321,11,309,33.0,26,34.0,3,9,3,5,4,0,0,0,0,0,0,0,42,40–49,734,1
1978,Graduation,Married,71427.0,2014-03-12,26,212,81,177,15.0,64,23.0,2,8,2,8,4,0,0,0,0,0,0,0,37,30–39,614,2
1978,Graduation,Divorced,71022.0,2014-02-11,30,909,12,278,0.0,12,126.5,3,5,2,11,8,1,0,0,0,0,0,0,37,30–39,1453,1
1988,Master,Single,90247.0,2014-04-29,27,1184,32,352,21.0,16,16.0,1,3,4,7,1,0,1,1,1,0,0,1,27,<30,1621,0
1968,Master,Divorced,41335.0,2013-12-26,24,112,19,21,16.0,14,5.0,3,4,1,4,7,0,0,0,0,0,0,0,47,40–49,187,1
1986,Graduation,Married,71952.0,2013-01-10,93,656,80,455,52.0,81,93.0,2,8,4,8,4,1,0,1,0,0,0,0,29,<30,1443,1
1970,PhD,Divorced,35682.0,2014-06-27,34,23,0,8,6.0,2,18.0,1,1,1,3,2,0,0,0,0,0,0,0,45,40–49,57,1
1951,Graduation,Divorced,43185.0,2013-04-10,88,537,6,42,16.0,6,30.0,2,9,3,6,8,0,0,0,0,0,0,0,64,60+,637,1
1948,PhD,Together,66375.0,2013-11-21,96,712,0,45,0.0,0,126.5,3,2,4,5,7,1,0,0,0,0,0,0,67,60+,948,1
1971,Master,Married,35178.0,2013-01-10,10,23,1,13,2.0,2,18.0,1,1,1,2,7,1,0,0,0,0,0,1,44,40–49,59,1
1986,Graduation,Married,25252.0,2013-07-12,26,1,3,4,2.0,2,6.0,1,1,0,2,8,0,0,0,0,0,0,0,29,<30,18,1
1965,Master,Single,55250.0,2012-10-21,49,664,58,83,32.0,0,66.0,4,7,5,10,5,0,0,0,0,0,0,0,50,50–59,903,1
1975,Graduation,Single,33249.0,2013-02-20,11,6,10,21,19.0,14,42.0,2,2,1,3,6,0,0,0,0,0,0,0,40,40–49,112,1
1953,Graduation,Together,58398.0,2013-05-14,44,299,5,201,21.0,21,49.0,3,5,4,8,4,0,0,0,0,0,0,0,62,60+,596,0
1982,Graduation,Together,50272.0,2013-08-07,75,99,13,66,43.0,8,4.0,3,4,1,5,7,0,0,0,0,0,0,0,33,30–39,233,1
1975,PhD,Married,76618.0,2012-12-07,64,749,40,294,120.5,81,126.5,1,3,2,5,1,0,0,0,0,0,0,0,40,40–49,1511,0
1960,2n Cycle,Divorced,87305.0,2012-09-23,19,345,25,501,63.0,81,80.0,1,5,3,8,2,0,0,1,0,0,0,1,55,50–59,1152,0
1978,Graduation,Together,25851.0,2013-02-11,45,9,4,18,7.0,5,5.0,2,2,0,3,7,0,0,0,0,0,0,0,37,30–39,48,1
1970,Graduation,Divorced,58710.0,2013-03-31,77,440,81,368,0.0,81,126.5,6,11,5,9,6,0,0,0,0,0,0,0,45,40–49,1185,1
1958,Graduation,Single,45160.0,2014-03-29,9,8,2,5,3.0,0,3.0,1,1,0,2,7,0,0,0,0,0,0,0,57,50–59,21,2
1965,Master,Married,74806.0,2012-12-19,1,670,9,249,0.0,28,9.0,2,5,4,5,4,0,0,0,0,0,0,0,50,50–59,965,1
1954,Graduation,Married,59111.0,2013-05-02,90,524,0,134,28.0,28,126.5,1,11,1,8,7,0,0,0,0,0,0,0,61,60+,869,0
1984,PhD,Married,18988.0,2014-05-23,43,6,0,6,2.0,1,1.0,2,1,0,3,7,0,0,0,0,0,0,0,31,30–39,16,1
1965,Graduation,Married,72190.0,2013-02-13,79,597,81,556,120.5,81,126.5,1,5,6,4,3,0,0,0,0,0,0,0,50,50–59,1947,0
1976,Graduation,Married,7500.0,2012-08-01,19,7,0,12,13.0,7,32.0,5,4,1,2,9,1,0,0,0,0,0,1,39,30–39,71,1
1966,Graduation,Married,44794.0,2014-06-08,99,54,0,7,0.0,0,4.0,1,2,0,3,6,0,0,0,0,0,0,0,49,40–49,65,1
1955,Graduation,Married,80395.0,2013-11-23,62,445,25,556,80.0,76,48.0,1,6,5,12,2,0,0,0,1,0,0,0,60,60+,1380,0
1976,Master,Divorced,75012.0,2014-01-25,41,294,81,218,120.5,58,126.5,1,3,8,11,1,0,0,0,0,0,0,0,39,30–39,1027,0
1965,Master,Married,56962.0,2013-10-11,60,292,3,77,10.0,3,26.0,7,6,3,5,7,0,0,0,0,0,0,0,50,50–59,411,3
1991,Graduation,Together,89891.0,2013-04-15,17,412,22,132,59.0,28,126.5,1,11,6,8,4,0,0,1,0,0,0,0,24,<30,836,0
1949,PhD,Divorced,35946.0,2013-09-27,24,8,0,3,0.0,0,0.0,1,0,0,3,5,0,0,0,0,0,0,0,66,60+,11,2
1953,PhD,Together,53593.0,2012-08-07,60,349,4,78,6.0,0,43.0,8,7,2,6,8,0,0,0,0,0,0,0,62,60+,480,2
1978,Graduation,Married,66373.0,2013-06-12,57,328,9,124,12.0,24,109.0,7,4,2,10,3,0,0,0,0,0,0,0,37,30–39,606,2
1948,PhD,Divorced,45072.0,2013-10-16,74,144,2,99,7.0,2,30.0,5,6,1,4,8,0,0,0,0,0,0,0,67,60+,284,3
1973,Graduation,Divorced,89694.0,2013-10-09,22,1126,28,211,37.0,28,42.0,3,4,3,4,5,0,1,1,1,0,0,0,42,40–49,1472,2
